frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
26,0.8675342008675342,4,2,car,1066,207,0.7502841949462891,12.838607602072742,0
26,0.8675342008675342,5,2,car,998,61,0.6849974989891052,3.437489176710234,0
26,0.8675342008675342,6,2,car,1058,59,0.566182017326355,5.010958507112187,0
26,0.8675342008675342,7,2,car,1573,47,0.5041905045509338,22.276105945851562,0
26,0.8675342008675342,14,2,car,931,12,0.2872864007949829,3.5963999999999996,0
26,0.8675342008675342,9,2,car,1156,36,0.27909067273139954,5.9415084207951905,0
27,0.9009009009009009,1,2,car,1183,205,0.8277159929275513,16.68060786662165,0
27,0.9009009009009009,2,2,car,1642,50,0.6052348017692566,20.33744168866871,0
27,0.9009009009009009,3,2,car,1034,106,0.8116191029548645,5.807962964757954,0
27,0.9009009009009009,4,2,car,1068,213,0.766350269317627,13.469839709513993,0
27,0.9009009009009009,5,2,car,999,62,0.7120169997215271,3.6019457241885258,0
27,0.9009009009009009,6,2,car,1060,59,0.563269853591919,5.194800000000001,0
27,0.9009009009009009,7,2,car,1567,48,0.44315657019615173,21.569265933825832,0
27,0.9009009009009009,14,2,car,932,12,0.30898258090019226,3.5963999999999996,0
28,0.9342676009342676,1,2,car,1185,208,0.829079806804657,17.10946093014038,0
28,0.9342676009342676,2,2,car,1640,50,0.6007431149482727,20.33744168866871,0
28,0.9342676009342676,3,2,car,1034,107,0.8112394213676453,5.960606982514449,0
28,0.9342676009342676,4,2,car,1069,215,0.7674385905265808,13.728164802332465,0
28,0.9342676009342676,5,2,car,1000,62,0.708467960357666,3.7698188603698184,0
28,0.9342676009342676,6,2,car,1061,59,0.546712338924408,5.194800000000001,0
28,0.9342676009342676,7,2,car,1565,48,0.4384649395942688,20.011378827732887,0
28,0.9342676009342676,14,2,car,932,12,0.3143201172351837,2.3975999999999997,0
29,0.9676343009676344,1,2,car,1189,213,0.9046428203582764,17.821443214285424,0
29,0.9676343009676344,2,2,car,1634,50,0.6429930329322815,20.30109585613545,0
29,0.9676343009676344,3,2,car,1036,108,0.7915588021278381,6.089804361389617,0
29,0.9676343009676344,4,2,car,1070,220,0.799966037273407,14.21952891624754,0
29,0.9676343009676344,5,2,car,1000,63,0.7261210083961487,3.6019457241885258,0
29,0.9676343009676344,6,2,car,1062,60,0.5001970529556274,5.2748713614646565,0
29,0.9676343009676344,7,2,car,1560,47,0.512210488319397,20.383897021324348,0
29,0.9676343009676344,14,2,car,932,12,0.35494542121887207,1.7981999999999998,0
30,1.001001001001001,1,2,car,1194,218,0.8582200407981873,18.251924112268274,0
30,1.001001001001001,2,2,car,1629,48,0.657583475112915,19.945004351967437,0
30,1.001001001001001,3,2,car,1037,110,0.7602645754814148,6.241951540984598,0
30,1.001001001001001,4,2,car,1071,224,0.770129382610321,14.596343839468846,0
30,1.001001001001001,5,2,car,1001,64,0.702233076095581,3.87941427022173,0
30,1.001001001001001,6,2,car,1064,60,0.5507563352584839,5.194800000000001,0
30,1.001001001001001,7,2,car,1556,46,0.5660843849182129,20.011378827732887,0
30,1.001001001001001,14,2,car,933,12,0.2767929434776306,2.1578399999999998,0
31,1.0343677010343677,1,2,car,1198,224,0.831879734992981,18.551298198239387,0
31,1.0343677010343677,2,2,car,1624,48,0.6404592394828796,19.67598912176971,0
31,1.0343677010343677,3,2,car,1038,112,0.7651934027671814,6.1159690548595815,0
31,1.0343677010343677,4,2,car,1073,231,0.7677485346794128,15.228115850623151,0
31,1.0343677010343677,5,2,car,1002,65,0.6944716572761536,3.8380326679172496,0
31,1.0343677010343677,6,2,car,1065,61,0.5774087309837341,5.18326025972071,0
31,1.0343677010343677,7,2,car,1550,45,0.591021716594696,19.60531255909566,0
31,1.0343677010343677,14,2,car,933,12,0.26977798342704773,1.7982,0
32,1.0677344010677345,1,2,car,1204,231,0.8783538937568665,19.662797039078647,0
32,1.0677344010677345,2,2,car,1618,47,0.4157356321811676,19.282511572925344,0
32,1.0677344010677345,3,2,car,1040,113,0.7561429738998413,6.241951540984598,0
32,1.0677344010677345,4,2,car,1076,237,0.8069993257522583,15.671250303661163,0
32,1.0677344010677345,5,2,car,1003,65,0.717625081539154,3.716494832500108,0
32,1.0677344010677345,6,2,car,1066,62,0.5078431367874146,5.0939204940791925,0
32,1.0677344010677345,7,2,car,1545,42,0.5025683045387268,19.08112529561993,0
33,1.1011011011011012,1,2,car,1209,238,0.8508235216140747,20.093563261900563,0
33,1.1011011011011012,2,2,car,1612,46,0.35529303550720215,19.282511572925344,0
33,1.1011011011011012,3,2,car,1041,116,0.7683473825454712,6.396721113195417,0
33,1.1011011011011012,4,2,car,1078,245,0.8242743015289307,16.49167161084649,0
33,1.1011011011011012,5,2,car,1003,67,0.6540639996528625,3.6841299651342383,0
33,1.1011011011011012,6,2,car,1068,63,0.44884049892425537,5.0939204940791925,0
33,1.1011011011011012,7,2,car,1539,43,0.4285914897918701,18.82688165161101,0
34,1.1344678011344678,1,2,car,1211,240,0.850629448890686,20.243003991502842,0
34,1.1344678011344678,2,2,car,1610,46,0.3447045385837555,19.282511572925344,0
34,1.1344678011344678,3,2,car,1041,117,0.7711184024810791,6.434056378366605,0
34,1.1344678011344678,4,2,car,1079,248,0.8195077180862427,16.869794461107105,0
34,1.1344678011344678,5,2,car,1003,67,0.656903088092804,3.5348228413882357,0
34,1.1344678011344678,6,2,car,1068,64,0.4458167850971222,5.18326025972071,0
34,1.1344678011344678,7,2,car,1537,42,0.4312128722667694,17.895117865640124,0
35,1.1678345011678346,1,2,car,1216,245,0.9158750772476196,20.939955094507724,0
35,1.1678345011678346,2,2,car,1605,44,0.3245740830898285,19.12243620462623,0
35,1.1678345011678346,3,2,car,1042,119,0.7941915988922119,6.596426578079983,0
35,1.1678345011678346,4,2,car,1080,254,0.8132290244102478,17.438774748244214,0
35,1.1678345011678346,5,2,car,1004,68,0.6602609157562256,3.8171736402736514,0
35,1.1678345011678346,6,2,car,1070,65,0.6032155752182007,5.18326025972071,0
35,1.1678345011678346,7,2,car,1534,41,0.4098435342311859,18.115992193856428,0
36,1.2012012012012012,1,2,car,1221,252,0.8814444541931152,21.823062965587575,0
